t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3
11.6,350,208.164,9.194,0.2271,355,182.7277,9.0014,0.2103,361,166.4668,8.2929,0.1659,364,152.8887,8.1888,0.0013,372,141.655,8.9668,-0.1416,379,123.8837,9.2514,0.081,-1.1167755832699044,0.0160846710205078,8.023169647274017,152.7425685274348,-0.0445655869419972,8.017800088291716,139.03170896729983,-0.14298628044494158,8.203691263030866,140.893028594622
11.7,350,209.0844,9.2139,0.1033,355,183.629,9.0249,0.2633,361,167.2969,8.3089,0.1801,364,153.7077,8.1916,0.0558,372,142.551,8.9523,-0.201,379,124.8093,9.2603,0.0719,-1.0995814127400616,0.0318434238433837,8.026353989658356,153.54520392640063,-0.0328969675312954,8.013343529597517,139.8330433202596,-0.13398208936376896,8.18939263498637,141.71196785812063
11.8,350,210.0064,9.2261,0.0576,355,184.5328,9.0517,0.2759,361,168.1287,8.3268,0.2076,364,154.5273,8.1994,0.1113,372,143.4451,8.9313,-0.2967,379,125.7357,9.2677,0.1022,-1.0871852800320012,0.0897697210311889,8.035330961761474,154.34873702257678,-0.0226960534178575,8.010053832844386,140.63404870354404,-0.12455889690324509,8.175994426049995,142.52956730072563
11.9,350,210.9293,9.2324,0.026,355,185.4393,9.078,0.2541,361,168.9624,8.3479,0.2485,364,155.3478,8.2112,0.1383,372,144.3368,8.9013,-0.3722,379,126.6626,9.2707,-0.006,-1.0797836056333538,0.1325190067291259,8.048582862434387,155.15359530882023,-0.0130475447735983,8.0077842275026,141.4348271262943,-0.11471512627159065,8.16353853635967,143.3459211543616
12.0,350,211.8526,9.2344,0.0007,355,186.3483,9.1017,0.2273,361,169.7985,8.3731,0.2721,364,156.1696,8.2239,0.1312,372,145.2249,8.8615,-0.4746,379,127.5894,9.2654,-0.1624,-1.0750915226757374,0.1396310329437255,8.06254596572876,155.9598499053931,-0.0053514273549026,8.00647947302524,142.2354750735968,-0.10528400908432975,8.152067023732512,144.16112785673485
12.1,350,212.776,9.2327,-0.0396,355,187.2596,9.1231,0.2095,361,170.6372,8.4018,0.3,364,156.9925,8.2352,0.0964,372,146.1086,8.8134,-0.5508,379,128.5152,9.2514,-0.2874,-1.0682081078940315,0.140479564666748,8.076593922195435,156.76750929761266,0.000149955672499,8.00594433028975,143.03606950662578,-0.09687924133755564,8.14153862282408,144.97528171901726
12.2,350,213.699,9.2275,-0.0762,355,188.1729,9.1437,0.2131,361,171.4789,8.4318,0.298,364,157.817,8.2535,0.0686,372,146.9873,8.7595,-0.5984,379,129.4394,9.2323,-0.1896,-1.0563031125720428,0.1196271181106567,8.088556634006501,157.5763649610133,0.0025747932761071,8.005959325857,143.8366654392115,-0.09038823911762056,8.131850698690323,145.7884667888863
12.3,350,214.6213,9.2196,-0.1007,355,189.0884,9.1656,0.2364,361,172.3235,8.4607,0.2779,364,158.6426,8.2583,0.021,372,147.8603,8.7017,-0.6038,379,130.3617,9.2133,-0.1659,-1.052313448042997,0.0977351665496826,8.098330150661468,158.38619797607944,0.0026043070507057,8.00621680518461,144.63728711972993,-0.08559311815954548,8.122811874778561,146.60074797636415
12.4,350,215.5428,9.2101,-0.1118,355,190.0062,9.1904,0.2707,361,173.171,8.4879,0.2817,364,159.4683,8.257,-0.0448,372,148.7275,8.6405,-0.6379,379,131.2822,9.1974,-0.1314,-1.0302704805711966,0.0746968984603881,8.105799840507508,159.1967779601302,0.0004106458110739,8.006477235889681,145.4379348433189,-0.08260984133822215,8.114252562962607,147.4121732326604
12.5,350,216.4633,9.1999,-0.106,355,190.9266,9.2183,0.3004,361,174.0211,8.5148,0.2909,364,160.2936,8.2493,-0.102,372,149.5883,8.576,-0.6694,379,132.2013,9.1844,-0.1131,-1.0003425129533503,0.0032393932342529,8.106123779830932,160.00739033811328,-0.0024397901822897,8.00651830047079,146.23858667336597,-0.08076757953992951,8.105991578828785,148.22277239054327
12.6,350,217.3828,9.1893,-0.1096,355,191.8499,9.2483,0.3127,361,174.874,8.5438,0.3286,364,161.118,8.2381,-0.1156,372,150.4425,8.5092,-0.686,379,133.1192,9.1723,-0.1205,-0.9613032679399276,-0.0309736728668212,8.103026412544251,160.8176929793677,-0.0041431945570998,8.00627432145256,147.03921410551123,-0.0792693091196248,8.097914820874792,149.03256387263076
12.7,350,218.3012,9.1783,-0.1134,355,192.7763,9.2789,0.3139,361,175.7301,8.5774,0.3857,364,161.9413,8.227,-0.0985,372,151.2901,8.4419,-0.6566,379,134.0358,9.16,-0.1263,-0.9152977717861368,-0.0274849534034729,8.100277917203904,161.6277207710881,-0.0040199940370515,8.00586000199685,147.83980010571094,-0.07752984905980911,8.08998788996283,149.84156266162702
12.8,350,219.2184,9.167,-0.1171,355,193.7057,9.3102,0.3368,361,176.5898,8.6166,0.4402,364,162.7635,8.2176,-0.082,372,152.131,8.3764,-0.6281,379,134.9511,9.1472,-0.1291,-0.8652777388075843,-0.0042129755020141,8.099856619653702,162.43770643305348,-0.0024191573949512,8.005458002593146,148.64034590597024,-0.07539967077942014,8.082234905056849,150.64978615213272
12.9,350,220.1345,9.1553,-0.1199,355,194.6384,9.3437,0.3738,361,177.4537,8.6616,0.4991,364,163.5848,8.2095,-0.0727,372,152.9656,8.3145,-0.587,379,135.8652,9.1345,-0.1263,-0.8126325398176514,-0.0015397667884826,8.099702642974854,163.24767669735095,0.0018956883919568,8.00521608685365,149.4408675146556,-0.07221084486087592,8.074694937978906,151.45725564593062
13.0,350,221.0494,9.1432,-0.1231,355,195.5747,9.3816,0.4279,361,178.3224,8.7119,0.5474,364,164.4054,8.2024,-0.064,372,153.7941,8.2561,-0.5581,379,136.7781,9.1221,-0.1355,-0.7567530489123824,0.0059115290641784,8.10029379588127,164.0577060769391,0.0080165814079449,8.005405655692845,150.2414080802249,-0.06821026366248492,8.06747385349282,152.26400303127988
13.1,350,221.9632,9.1309,-0.1259,355,196.515,9.4246,0.4823,361,179.1963,8.7661,0.5841,364,165.2254,8.1961,-0.0548,372,154.6168,8.199,-0.579,379,137.6896,9.1097,-0.1406,-0.697674522697694,0.0211656093597412,8.102410356817245,164.8679471126208,0.0151141252222694,8.00620731383364,151.04202881160825,-0.06370521567481215,8.060652827126571,153.07006831399255
13.2,350,222.8756,9.1184,-0.1286,355,197.4599,9.4722,0.4954,361,180.0758,8.8237,0.5963,364,166.0447,8.1906,-0.0499,372,155.4338,8.1401,-0.6093,379,138.5999,9.0958,-0.1688,-0.6361952484663543,0.047886312007904,8.107198988018036,165.67866701142262,0.0221549692057592,8.007718726355867,151.84280068424383,-0.05892339042247234,8.05428230555909,153.87549654454844
13.3,350,223.7868,9.1055,-0.1309,355,198.4096,9.5231,0.5192,361,180.9612,8.8841,0.6255,364,166.8635,8.1854,-0.0374,372,156.2447,8.0783,-0.6376,379,139.5086,9.0782,-0.221,-0.5726858162379957,0.0556839108467102,8.112767379102706,166.4899437493329,0.0297505746650146,8.009934223276442,152.64379410657148,-0.05364954683353078,8.048389966516842,154.68033554120012
13.4,350,224.6967,9.0924,-0.1338,355,199.3645,9.5753,0.5236,361,181.8527,8.9473,0.6524,364,167.6818,8.1805,-0.0338,372,157.0494,8.0148,-0.6438,379,140.4153,9.0555,-0.272,-0.5071458338056078,0.0725255012512207,8.12001992922783,167.3019457422557,0.0374078974433879,8.012909280742944,153.4450850346458,-0.047984100162907176,8.043025011833489,155.48463804238347
13.5,350,225.6053,9.079,-0.1365,355,200.3247,9.6271,0.5108,361,182.7507,9.0124,0.6648,364,168.4996,8.1766,-0.0215,372,157.8477,7.952,-0.5918,379,141.3194,9.0269,-0.3333,-0.4397618832434824,0.0792118310928344,8.127941112337112,168.1147398534894,0.0451396748581961,8.016650070487282,154.2467500416945,-0.041909551787745504,8.038226601817199,156.2884607025652
13.6,350,226.5125,9.0654,-0.1386,355,201.2899,9.6771,0.4751,361,183.6552,9.0776,0.623,364,169.3172,8.1749,-0.0028,372,158.6399,7.892,-0.5558,379,142.2204,8.993,-0.3862,-0.3719559005206793,0.0996789038181305,8.137909002718926,168.9285307537613,0.0525319063040804,8.0211640379731,155.04886644549185,-0.03550271196122963,8.034035646638424,157.09186426722903
13.7,350,227.4183,9.0515,-0.1421,355,202.26,9.7247,0.4499,361,184.5661,9.1402,0.588,364,170.1348,8.1759,0.0256,372,159.4263,7.8364,-0.5082,379,143.1178,8.9548,-0.4238,-0.306287121628352,0.1174420416355133,8.149653206882476,169.74349607444955,0.0601264046485753,8.026417228603508,155.85150816835218,-0.028616461410421807,8.030485375442302,157.89491280477327
13.8,350,228.3228,9.0374,-0.1468,355,203.2347,9.7697,0.4248,361,185.483,9.1986,0.5398,364,170.9525,8.179,0.0466,372,160.2075,7.786,-0.4553,379,144.0112,8.914,-0.4214,-0.2448718188029345,0.1418996751308441,8.163843174395561,170.5598803918891,0.0672431139768485,8.032429869068366,156.65475115525902,-0.021641385827508505,8.02762372930126,158.6976751777034
13.9,350,229.2258,9.0224,-0.1589,355,204.2138,9.8122,0.4001,361,186.4056,9.2521,0.4948,364,171.7706,8.1837,0.0588,372,160.9838,7.7409,-0.3812,379,144.9005,8.8718,-0.4278,-0.1879797086780683,0.1483905166387558,8.178682226059436,171.37774861449503,0.0743194608343637,8.039154180466051,157.4586665733056,-0.014622808067208955,8.025459590718508,159.50022113677525
14.0,350,230.1272,9.0062,-0.1732,355,205.197,9.8521,0.3778,361,187.3333,9.3021,0.4884,364,172.5893,8.1894,0.0702,372,161.7566,7.7157,-0.3524,379,145.7856,8.8292,-0.4323,-0.1354850538091001,0.1614648103713989,8.194828707096576,172.1972314852047,0.0810536143491155,8.046586126549487,158.26332518596055,-0.007999319533989779,8.023997309911788,160.30262086776642
14.1,350,231.027,8.9894,-0.0411,355,206.1841,9.8899,0.3591,361,188.266,9.351,0.492,364,173.4086,8.196,0.0283,372,162.5262,7.6766,-0.3461,379,146.6663,8.7859,-0.4401,-0.0860963214895728,0.1727981567382812,8.212108522770405,173.01844233748173,0.0862864718216221,8.054691487984398,159.068794334759,-0.0023431518466141793,8.02319737795839,161.10494060556226
14.2,350,231.9252,8.9753,-0.029,355,207.1749,9.9261,0.3478,361,189.2035,9.4009,0.5087,364,174.2285,8.2021,0.0229,372,163.2919,7.6373,-0.3549,379,147.5427,8.7418,-0.4482,-0.038381653026308,0.1207356452941894,8.224182087299823,173.84086054621173,0.0920171324923034,8.06332013516656,159.87512634827564,0.0027928201866132996,8.022963062773728,161.90723691183965
14.3,350,232.8224,8.9685,-0.0048,355,208.1693,9.9612,0.3356,361,190.1462,9.4519,0.5139,364,175.0489,8.2058,0.0079,372,164.0537,7.5974,-0.3756,379,148.4147,8.6969,-0.4557,0.0099847140034114,0.1439707279205322,8.238579160091877,174.66471846222092,0.0978498390792559,8.07252184841579,160.68237853311723,0.0072853405833945735,8.02324234479239,162.7095611463189
14.4,350,233.7194,8.9719,0.0217,355,209.167,9.9942,0.288,361,191.0939,9.5024,0.4954,364,175.8694,8.2054,-0.0118,372,164.8115,7.5582,-0.358,379,149.2821,8.6513,-0.4625,0.0607213933534789,0.1193225234746933,8.250511412439346,175.48976960346485,0.1043197964919998,8.082306832323715,161.4906092163496,0.0112454199457431,8.02397087885073,163.51195823420397
14.5,350,234.6172,8.9841,0.1377,355,210.1679,10.0234,0.2445,361,192.0466,9.5508,0.4701,364,176.6897,8.2007,-0.0073,372,165.5655,7.5221,-0.3185,379,150.1449,8.6051,-0.4683,0.1142815001127832,0.1068816855549812,8.261199580994845,176.31588956156432,0.1125363745419057,8.092738811972914,162.2998830975469,0.015119878159583173,8.025095420845304,164.3144677762885
14.6,350,235.5165,9.0005,0.1494,355,211.1715,10.0475,0.1952,361,193.004,9.5972,0.457,364,177.5095,8.1942,-0.0074,372,166.3161,7.4909,-0.2657,379,151.0031,8.5583,-0.4712,0.1697899262231711,0.1249559521675109,8.273695176211596,177.14325907918547,0.1234837992409537,8.103992449427105,163.11028234248965,0.019615969893413972,8.026607408661262,165.1171285171546
14.7,350,236.4173,9.016,0.1223,355,212.1772,10.0668,0.1563,361,193.966,9.6434,0.4659,364,178.3287,8.1898,-0.0024,372,167.0639,7.4656,-0.1342,379,151.8565,8.5112,-0.4741,0.2249649471388643,0.1141814514994621,8.285113321361543,177.97177041132161,0.1361381686174646,8.1163408293512,163.92191642542474,0.02477376014178556,8.028569005650603,165.91998541771966
